企业名称,经营状态,法定代表人,注册资本,成立日期,所属省份,所属城市,电话,更多电话,邮箱,统一社会信用代码,纳税人识别号,注册号,组织机构代码,参保人數,企业类型,所属行业,网址,企业地址,经营范围
丽水神码同学少儿编程培训有限公司,存续,陈艳,100万元人民币,2019/10/12,浙江,丽水市,,,,91331102MA2E28G83U,91331102MA2E28G83U,,MA2E28G8-3,0,有限责任公司（非自然人投资或控股的法人独资）,教育,,浙江省丽水市莲都区花园路16号万地广场二层J007号,"开展少儿编程培训),电子产品批发、零售。"
丽水市贝妮少儿编程培训有限公司,存续,夏维迪,25万元人民币,2019/5/13,浙江,丽水市,,,,91331102MA2E1AKL56,91331102MA2E1AKL56,,MA2E1AKL-5,0,有限责任公司(自然人投资或控股),教育,,浙江省丽水市莲都区囿山路673号,"开展少儿编程、幼儿积木搭建培训,益智玩具的开发、推广,文化艺术交流活动组织,会议服务,承办展览展示活动;文教用品,体育用品的批发、零售。"
丽水市睿程少儿编程培训有限公司,存续,周佶舞,50万元人民币,2019/4/1,浙江,丽水市,,,,91331102MA2E13JQ0J,91331102MA2E13JQ0J,,MA2E13JQ-0,0,有限责任公司(自然人投资或控股),教育,,浙江省丽水市莲都区中山街38号二楼,"开展少儿编程培训,开展美术、音乐、舞蹈、书法、围棋培训(以上均不涉及与学历教育相关的活动),文化交流活动组织、策划;文具,体育用品,教具,图书、报刊批发、零售。"
乐清市神笔轩少儿编程培训有限公司,存续,胡金英,10万元人民币,2019/9/17,浙江,温州市,,,,91330382MA2H908F96,91330382MA2H908F96,,MA2H908F-9,0,有限责任公司(自然人独资),教育,,浙江省温州市乐清市天成街道马良村文化礼堂,少儿编程、美术、音乐、舞蹈、书法、围棋培训;亲子、少儿活动策划;文化交流活动组织、策划;教育科技领域内的技术研发、技术推广、技术服务、技术咨询、技术转让;文具、体育用品、教具零售。
小熊少儿编程教育服务（荆州）有限公司,存续,刘彩云,50万元人民币,2019/2/18,湖北,荆州市,,,,91421000MA497WB16Q,91421000MA497WB16Q,,MA497WB1-6,0,有限责任公司(自然人投资或控股),教育,,荆州区北京西路(万达广场)写字楼A第1单元14层13A12号,智力开发类的少儿编程教育培训服务;计算机信息科技领域内的技术开发、技术咨询、技术服务和技术推广;文化交流活动组织、策划;教具产品的研发与销售。
成都渡课少儿编程教育咨询有限公司,存续,陈荣,30万元人民币,2019/4/19,四川,成都市,,,,91510112MA69Y8XA5T,91510112MA69Y8XA5T,,MA69Y8XA-5,0,有限责任公司(自然人独资),商务服务业,,四川省成都市龙泉驿区龙泉街道桃都大道中段888号1栋附2390号,教育信息咨询(不得开展辅导、培训)()。
深圳市励码编程少儿教育科技有限公司,存续,许浩瀚,100万元人民币,2018/8/16,广东,深圳市,13714612740,,103582916@qq.com,91440300MA5F9BNQ8T,91440300MA5F9BNQ8T,4.40E+14,MA5F9BNQ-8,0,有限责任公司,教育,http://www.kidsprogramsz.com,深圳市南山区招商街道海上世界环船广场B区B1层第B001铺,少儿教育项目的开发;计算机软硬件的设计、开发、技术培训与销售;文化活动策划;企业管理咨询;教育培训;信息咨询;礼仪服务;文化艺术培训;乐器培训、舞蹈培训、棋类培训;体育技能培训;体育活动策划;从事广告业务;国内贸易;经营进出口业务。^劳务派遣;旅游业务;
东湖区君达少儿编程中心,在业,张高锋,,2019/4/15,江西,南昌市,,,,92360102MA38J68W21,92360102MA38J68W21,,MA38J68W-2,0,个体工商户,居民服务业,,南昌市东湖区佘山路66号(前坊车间、细纱车间、简摇车间)9栋2楼,少儿编程***服务、人工智能机器人***零售
兴宁市智创少儿编程培训中心,在业,罗妙平,,2019/7/19,广东,梅州市,,,,92441481MA53HH7A4X,92441481MA53HH7A4X,,MA53HH7A-4,0,个体工商户,教育,,兴宁市宁新贵中路122号,少儿编程培训。
聊城市东昌府区合一编程少儿编程部,在业,翟东蕾,,2019/9/23,山东,聊城市,,,,92371502MA3QLR3700,92371502MA3QLR3700,,MA3QLR37-0,0,个体工商户,居民服务业,,山东省聊城市东昌府区新区办事处水城中街5号商业楼6室,计算机信息咨询服务、编程信息咨询及技术服务
韩城市码博士少儿编程中心,在业,张哲,,2019/10/10,陕西,渭南市,,,,92610581MA6TMP6HXJ,92610581MA6TMP6HXJ,,MA6TMP6H-X,0,个体工商户,居民服务业,,陕西省韩城市招商区金塔东路,"乐高积木教学设备、计算机、软件、文具用品销售,少儿编程、思维乐高、智能机器人技术咨询、服务、转让服务"
榆树市瓦力少儿编程店,存续,周天慧,,2019/11/5,吉林,长春市,,,,92220182MA17B46L6T,92220182MA17B46L6T,,MA17B46L-6,0,个体工商户,居民服务业,,长春市榆树市繁荣大街燃气公司对面,综合零售(经营范围在小类中具体确定);机器人零售。
蒙自负鼠少儿智能编程咨询中心,存续,万珂秀,,2019/1/4,云南,红河哈尼族彝族自治州,,,,92532522MA6NJWG52R,92532522MA6NJWG52R,5.33E+14,MA6NJWG5-2,0,个体工商户,商务服务业,,云南省红河哈尼族彝族自治州蒙自市观澜路红锦园小区67幢2单元3-4层202室,编程基础语言咨询服务;计算机软件开发;网站建设及运营维护。
深圳市励码编程少儿教育科技有限公司海上世界分校,存续,许浩瀚,,2018/9/3,广东,深圳市,13714612740,,103582916@qq.com,91440300MA5FA7GD1J,91440300MA5FA7GD1J,4.40E+14,MA5FA7GD-1,4,有限责任公司分公司,零售业,,深圳市南山区招商街道海上世界环船广场B区B1层第B001铺,少儿教育项目的开发;文化活动策划;企业管理咨询;教育培训;信息咨询;礼仪服务;文化艺术培训;乐器培训、舞蹈培训、棋类培训;体育技能培训;体育活动策划;从事广告业务;国内贸易;经营进出口业务。^劳务派遣;旅游业务;计算机软硬件的设计、开发、技术培训与销售。
沾益西平智趣汇少儿编程体验馆,存续,廖泽吉,,2019/9/16,云南,曲靖市,,,,92530328MA6P3N6H7K,92530328MA6P3N6H7K,,MA6P3N6H-7,0,个体工商户,批发业,,云南省曲靖市沾益区西平街道临江新区二区69号,教育信息咨询服务、电子商务服务、计算机软件、硬件开发、推广、教育设备、文化用品、电子产品、机电设备、办公用品、玩具开发、销售。
府谷县贝乐菲科少儿编程体验中心,在业,张凯,,2019/11/14,陕西,榆林市,,,,92610822MA70BX7201,92610822MA70BX7201,,MA70BX72-0,0,个体工商户,批发业,,陕西省榆林市府谷县府谷镇阴塔村经济适用房8号楼2楼东侧,商务信息咨询;机器人模型组装;机器人教育产品销售及技术服务;承办经批准的科技比赛。
南京你好世界教育科技有限公司,存续,吴培,200万元人民币,2016/5/30,江苏,南京市,13951716923,17361882359；13338610681；,19905396@qq.com,91320102MA1MLM943L,91320102MA1MLM943L,3.20E+14,MA1MLM94-3,6,有限责任公司(自然人投资或控股),科技推广和应用服务业,http://www.helloworldroom.net,南京市玄武区仙鹤门仙鹤新天地广场02幢302室,教育软件开发、技术咨询;计算机软硬件开发、技术咨询、技术服务;计算机网络工程设计、施工及维护;网站建设;企业管理咨询、商务咨询服务。
厦门市同安区少儿编程咨询服务部,存续,陈为斌,,2019/9/17,福建,厦门市,,,,92350212MA337NF28J,92350212MA337NF28J,,MA337NF2-8,0,个体工商户,商务服务业,,厦门市同安区祥平街道环城西路863-1号,其他未列明的专业咨询服务;其他未列明居民服务业。
镇康县南伞乐堂少儿编程手工作坊,存续,徐志江,,2019/10/30,云南,临沧市,,,,92530924MA6P5GD8XF,92530924MA6P5GD8XF,,MA6P5GD8-X,0,个体工商户,批发业,,云南省临沧市镇康县南伞镇中缅商贸城6-7号,儿童娱乐及手工服务。
青阳县蓉城镇锡锡少儿编程活动中心,存续,章维,,2019/10/23,安徽,池州市,,,,92341723MA2U7M0B61,92341723MA2U7M0B61,,MA2U7M0B-6,0,个体工商户,居民服务业,,青阳县九子大道与富阳路交汇处亿达广场商业项目A幢三层313-320号,少儿文化体育服务。
沈阳市于洪区造物精灵少儿科学编程店,存续,刘汉通,,2018/9/27,辽宁,沈阳市,,,,92210114MA0Y77750N,92210114MA0Y77750N,,MA0Y7775-0,0,个体工商户,批发业,,辽宁省沈阳市于洪区赤山路25号5门,计算机软件技术咨询、教育信息咨询、文化信息咨询、商务信息咨询、儿童室内游戏娱乐、展览展示及会议承办服务;美术工艺品、教学设备销售;计算机系统集成及综合布线。
山东九八五教育科技有限公司,在业,张洪波,300万元人民币,2018/11/20,山东,菏泽市,0530-6209979,,ruichang002@126.com,91371700MA3NL5BL3Y,91371700MA3NL5BL3Y,,MA3NL5BL-3,0,有限责任公司(自然人投资或控股),教育,,山东省菏泽市开发区育才路中达广场A2107号,教育软件、网络信息技术领域内的技术开发、技术服务、技术咨询、技术转让;计算机信息咨询;软件开发;组织文化艺术交流活动;企业管理咨询服务;教育软件、教学设备、仪器仪表、计算机软件及辅助设备、文具用品、办公用品、玩具的销售。
沈阳金成致远教育咨询有限公司,存续,田红军,200万元人民币,2014/8/7,辽宁,沈阳市,024-67762417,024-31529977；024-31680236；,83255379@qq.com,91210102313111414K,91210102313111414K,2.10E+14,31311141-4,7,有限责任公司(自然人独资),软件和信息技术服务业,www.assysign.com,辽宁省沈阳市沈河区哈尔滨路168-2号(1-8-15),教育信息咨询;计算机软件技术开发、技术服务、技术咨询、技术转让;企业管理咨询;计算机系统集成。
欧罗巴（武汉）教育咨询有限责任公司,存续,郭正元,100万元人民币,2018/12/25,湖北,武汉市,,,,91420111MA4K2LDH28,91420111MA4K2LDH28,,MA4K2LDH-2,0,有限责任公司(自然人投资或控股),商务服务业,,洪山区文治街武昌府三期维佳体验城写字楼1503号,教育咨询;计算机软件技术研发;文化艺术交流活动策划;会议会展服务;企业管理咨询;家政服务。()
深红智能科技（北京）有限公司,在业,李想,50万元人民币,2017/3/16,北京,,18210025216,,99116852@qq.com,91110113MA00D10E5B,91110113MA00D10E5B,1.10E+14,MA00D10E-5,0,有限责任公司(自然人投资或控股),科技推广和应用服务业,,北京市顺义区仁和镇澜西园四区26号楼4层401室 (科技创新功能区),"技术开发、技术咨询、技术推广、技术服务;教育咨询、教育科技)。(企业依法自主选择经营项目,开展经营活动;;。)"
星未来教育科技（肇庆市高新区）中心（普通合伙）,在业,蔡凤军,,2019/1/10,广东,肇庆市,,,,91441200MA52R89D0Q,91441200MA52R89D0Q,,MA52R89D-0,0,普通合伙企业,教育,,肇庆市高新区大旺大道东面、工业大街北面肇庆登骏数码城有限公司厂房1#A6-05B,"技术服务、技术推广、技术咨询;教育信息咨询,企业管理咨询,计算机软硬件开发与维护,商务咨询,会务服务,企业形象策划,保洁服务,组织文化艺术交流活动;销售:文化用品,工艺品,玩具;营养咨询。"
编程火（深圳）科技有限公司,存续,李超,1000万元人民币,2015/11/25,广东,深圳市,15361838787,15883769306；15815593570；,2722382523@qq.com,9.14E+17,9.14E+17,4.40E+14,35880043-2,0,有限责任公司(自然人独资),批发业,,深圳市宝安区西乡街道智汇创新中心B座东522,"一般经营项目是:编程技术开发、数据处理(数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外);计算机系统服务;企业管理咨询;教育咨询;组织文化艺术交流活动;市场调查;企业策划;文化咨询;会议服务;承办展览展示活动;产品设计;模型设计;电脑动画设计;基础软件服务;应用软件服务;软件开发;软件咨询;企业管理咨询;经营电子商务(涉及前置性行政许可的,须取得前置性行政许可文件后方可经营);国内贸易;经营进出口业务。),许可经营项目是:设计、制作、代理、发布广告;出版物零售;从事互联网文化活动。"
扬中市雄鹰少儿培训服务有限公司,存续,朱玲,50万元人民币,2019/1/8,江苏,镇江市,,,,91321182MA1XQWUX9M,91321182MA1XQWUX9M,,MA1XQWUX-9,0,有限责任公司(自然人投资或控股),教育,,镇江市扬中市三茅街道金苇路79号,面向少年儿童开展机器人科技培训;组织策划文化艺术交流活动。
深圳市非常文化传播有限公司,存续,康海聚,50万元人民币,2018/3/27,广东,深圳市,18926582395,,492013028@qq.com,91440300MA5F203F2D,91440300MA5F203F2D,,MA5F203F-2,0,有限责任公司,商务服务业,,深圳市南山区桃源街道光前工业区南山睿园产业园11栋北座一楼101E,"文化活动策划;会议及文体活动策划;教育培训,经营电子商务。^"
北京启迪开智教育科技有限公司,在业,吴俊宜,144.230769万元人民币,2017/5/15,北京,,4000898585,010-53399105；18612589382；,lele.kong@bmcode.com,91110108MA00EF3K7D,91110108MA00EF3K7D,1.10E+14,MA00EF3K-7,38,有限责任公司(自然人投资或控股),科技推广和应用服务业,www.bmcode.com,北京市海淀区中关村大街18号B座9层909室608号,"技术开发、技术推广、技术转让、技术咨询、技术服务;销售自行开发的产品;计算机系统服务;基础软件服务、应用软件服务;软件开发;软件咨询;产品设计;模型设计;包装装潢设计;教育咨询);经济贸易咨询;文化咨询;体育咨询);公共关系服务;会议服务;工艺美术设计;电脑动画设计;企业策划、设计;设计、制作、代理、发布广告;市场调查;企业管理咨询;健康管理、健康咨询);组织文化艺术交流活动;文艺创作;承办展览展示活动;会议服务。(企业依法自主选择经营项目,开展经营活动;;。)"
深圳点猫科技有限公司,存续,李天驰,1223.560014万元人民币,2015/3/9,广东,深圳市,13798592232,13423844025；,xumingyue@codemao.cn,91440300326623208J,91440300326623208J,4.40E+14,32662320-8,239,有限责任公司,科技推广和应用服务业,www.codemao.cn,深圳市前海深港合作区南山街道兴海大道3044号信利康大厦25A26A、27A-D、28A-B、29A-D、30A-B、31A-D,"一般经营项目是:信息技术、生物技术、化工产品、建筑建材、机械设备、文化用品、工艺美术品、电子产品、工艺礼品的技术开发、技术咨询、技术维护、技术转让及销售;计算机编程;计算机软件设计;从事文化交流活动策划;教育信息咨询;企业形象策划;文化活动策划;从事广告业务;装潢设计、美术设计、电脑动画设计;展览展示策划;经营电子商务;国内贸易;经营进出口业务;教育培训;教育信息咨询;文化活动策划。,限制的项目须取得许可后方可经营),许可经营项目是:文艺创作;音像制品和书籍的批发及零售;从事增值电信业务。"
厦门美力程教育科技有限公司,存续,叶催霞,50万元人民币,2013/8/21,福建,厦门市,15960201089,,,91350205072831559A,91350205072831559A,3.50E+14,07283155-9,8,有限责任公司(自然人投资或控股),商务服务业,,厦门市思明区厦禾路839号汇成商业中心504室之一,商务信息咨询;企业管理咨询;教育咨询;其他未列明科技推广和应用服务业;教育辅助服务;其他未列明专业技术服务业;其他未列明的教育服务;文化、艺术活动策划;其他未列明文化艺术业;其他未列明企业管理服务;市场管理;会议及展览服务;办公服务;提供企业营销策划服务;其他未列明商务服务业。
杭州潮麦教育科技有限公司,存续,张庆香,100万元人民币,2018/10/17,浙江,杭州市,13777802116,,,91330106MA2CEXL1XQ,91330106MA2CEXL1XQ,,MA2CEXL1-X,2,有限责任公司(自然人投资或控股),教育,,浙江省杭州市西湖区翠苑街道学院路28-38号1幢德力西大厦1号楼501-2室,"服务:教育软件、教学设备、仪器仪表、网络信息技术的技术开发、技术服务、技术咨询、成果转让;批发、零售(含网上销售):教学设备,仪器仪表,计算机软硬件。"
上海童希教育科技有限公司,存续,任静,100万元人民币,2019/5/28,上海,,,,,91310120MA1HRKGR9G,91310120MA1HRKGR9G,,MA1HRKGR-9,0,有限责任公司(自然人投资或控股),教育,,上海市奉贤区肖塘路255弄10号1层,"从事教育科技、信息科技领域内的技术开发、技术咨询、技术服务、技术转让,文化艺术交流策划,会务服务,展览展示服务,市场营销策划,企业形象策划,计算机软件开发。"
星曙（成都）科技有限公司,存续,钟帅,50万元人民币,2018/4/26,四川,成都市,18010530015,,,91510107MA6CE21A9H,91510107MA6CE21A9H,,MA6CE21A-9,0,有限责任公司(自然人独资),零售业,,成都市武侯区金花桥街道金花社区金航街16号,"从事网络科技领域的技术开发、技术咨询、技术服务,计算机软件开发,组织策划文化交流活动、企业管理咨询;图文设计:计算机、软件及辅助设备、电子产品、通讯器材销售。。"
深圳市精灵营教育科技有限公司,存续,胡修勤,100万元人民币,2018/8/30,广东,深圳市,13689595526,,108813176@qq.com,91440300MA5FA3ML4J,91440300MA5FA3ML4J,4.40E+14,MA5FA3ML-4,0,有限责任公司(自然人独资),教育,,深圳市龙岗区坂田街道富豪花园福泰阁402室,"从事教育信息技术、教育设备、教学软件、计算机软硬件的技术开发、技术咨询、技术服务、技术转让;企业管理咨询、文化艺术交流咨询、教育信息咨询、商务信息咨询;文化艺术活动策划、展览展示策划、企业形象策划;会议服务;教学设备的销售,国内贸易^"
广州魔块教育科技有限公司,在业,黄伟雄,100万元人民币,2019/8/7,广东,广州市,,,,91440101MA5CWQE36Y,91440101MA5CWQE36Y,,MA5CWQE3-6,0,有限责任公司(自然人投资或控股),教育,,广州市越秀区寺右新马路21号5楼自编502单元(5A02),科技项目代理服务;科技信息咨询服务;科技中介服务;信息电子技术服务;软件开发;信息技术咨询服务;数据处理和存储服务;游戏软件设计制作;数字动漫制作;机器人的技术研究、技术开发;网络技术的研究、开发;教学设备的研究开发;文化推广;文化传播;文化艺术咨询服务;教育咨询服务;企业管理咨询服务;企业形象策划服务;企业管理服务);商品批发贸易);商品零售贸易);
三河市敬学教育科技有限公司,存续,杨超,10万元人民币,2019/9/2,河北,廊坊市,,,,91131082MA0E176K6M,91131082MA0E176K6M,,MA0E176K-6,0,有限责任公司(自然人投资或控股),教育,,河北省廊坊市三河市燕郊开发区晶龙北路南侧、燕顺路东侧福洪园一期29-3-204,教学软件技术开发、技术转让、技术推广;教育咨询;组织文化艺术交流活动、承办展览展示服务、文艺创作。
保定君稻衡得教育科技有限公司,存续,李珍坤,100万元人民币,2019/5/14,河北,保定市,,,,91130605MA0DHQD48A,91130605MA0DHQD48A,,MA0DHQD4-8,0,有限责任公司(自然人投资或控股),教育,,保定市北二环路5699号大学科技园8号楼1层豆芽创客空间,"教育软件开发;教育咨询服务),网络技术开发、咨询、转让服务,信息技术咨询服务,大型活动组织服务,企业管理咨询服务,企业形象策划服务,公司礼仪服务,广告制作、发布、代理服务,文化艺术咨询服务,科技会展服务,旅游会展服务,体育会展服务,文化会展服务,摄影服务;计算机、软件及辅助设备,文具用品销售。"
湖北绿峰教育科技发展有限公司,存续,吕凤,108万元人民币,2018/10/11,湖北,鄂州市,0711-5117732,,583759284@qq.com,91420700MA4961817P,91420700MA4961817P,,MA496181-7,0,有限责任公司(自然人投资或控股),批发业,,鄂州市武昌大道242号建材综合楼西单元三层东户,教育信息咨询;计算机领域内的技术开发、技术推广、技术服务、技术咨询;产品设计、电脑动画设计;数据处理;基础软件服务;工程造价咨询。()***
西安普格睿明信息科技有限公司,在业,李兴,100万元人民币,2019/4/2,陕西,西安市,,,,91610131MA6WMAFA10,91610131MA6WMAFA10,,MA6WMAFA-1,0,有限责任公司(自然人投资或控股),软件和信息技术服务业,,陕西省西安市高新区丈八街办绿地世纪城仕嘉公寓B区7号楼10203室,计算机信息技术开发、技术转让、技术服务及咨询;计算机系统技术服务;文化艺术交流活动组织与策划;户外活动的组织策划;游戏软件的研发;互联网信息服务。
哈尔滨思维代码科技有限公司,存续,庄梅,100万元人民币,2019/6/24,黑龙江,哈尔滨市,,,,91230102MA1BMNRM3K,91230102MA1BMNRM3K,,MA1BMNRM-3,0,有限责任公司(自然人独资),零售业,,哈尔滨市道里区群力新区第七大道南侧第D9栋8层801号房,网络信息技术开发、技术服务、技术咨询;软件开发;教育软件开发及销售;少儿编程教学软件开发及销售;教学机器人相关软硬设计、开发及销售;教学教具设计、开发及销售。
